ID,shape,outlierType,outlierPosition,choice,success,rt,majorityOfMostRegularShapes,rot1,rot2,rot3,rot4,rot5,rot6,dil1,dil2,dil3,dil4,dil5,dil6,usedTouchscreen,population,age,classe
ARIELLE,hinge,2,4,4,1,750,True,1,4,3,6,2,5,4,6,5,1,2,3,True,baboons,,
ARIELLE,rustedHinge,0,4,4,1,2199,True,4,1,3,2,6,5,5,4,2,3,6,1,True,baboons,,
ARIELLE,rightKite,1,4,0,0,2078,True,1,6,4,3,2,5,5,2,4,3,1,6,True,baboons,,
ARIELLE,random,2,2,5,0,1348,False,3,5,2,1,4,6,2,4,6,5,3,1,True,baboons,,
ARIELLE,kite,1,4,3,0,1191,False,4,3,2,1,6,5,6,3,2,1,5,4,True,baboons,,
ARIELLE,isoTrapezoid,3,3,4,0,1609,True,3,5,4,2,6,1,2,1,3,5,4,6,True,baboons,,
ARIELLE,random,1,2,3,0,2258,True,2,1,6,5,4,3,5,1,3,6,4,2,True,baboons,,
ARIELLE,random,0,3,3,1,2691,True,1,3,6,4,5,2,6,2,5,4,3,1,True,baboons,,
ARIELLE,random,3,5,3,0,4551,True,3,6,1,4,2,5,3,2,1,5,4,6,True,baboons,,
ARIELLE,losange,2,5,3,0,2781,False,6,3,5,4,2,1,3,4,5,2,6,1,True,baboons,,
ARIELLE,trapezoid,1,0,3,0,2969,True,4,5,6,1,2,3,5,4,1,6,3,2,True,baboons,,
ARIELLE,hinge,1,0,3,0,2887,False,1,4,2,5,3,6,1,3,6,5,2,4,True,baboons,,
ARIELLE,rustedHinge,3,5,1,0,2031,False,3,6,2,5,1,4,2,3,5,1,6,4,True,baboons,,
ARIELLE,rightKite,1,0,3,0,2219,False,5,3,1,4,6,2,2,3,6,5,4,1,True,baboons,,
ARIELLE,rectangle,0,1,4,0,789,False,6,4,2,5,1,3,6,5,3,2,1,4,True,baboons,,
ARIELLE,kite,2,1,1,1,3027,True,5,2,3,6,4,1,1,3,6,4,2,5,True,baboons,,
ARIELLE,rectangle,3,3,3,1,2750,True,6,2,1,4,3,5,1,5,2,4,3,6,True,baboons,,
ARIELLE,hinge,1,3,4,0,4000,True,3,4,2,6,1,5,2,6,1,5,3,4,True,baboons,,
ARIELLE,rectangle,1,4,1,0,3070,True,6,4,3,1,2,5,5,4,6,1,2,3,True,baboons,,
ARIELLE,hinge,0,0,3,0,2328,False,3,4,2,5,1,6,3,6,1,2,4,5,True,baboons,,
ARIELLE,hinge,2,5,3,0,3531,False,5,6,4,1,2,3,3,4,6,2,5,1,True,baboons,,
ARIELLE,square,1,0,4,0,2852,False,4,2,1,5,6,3,5,3,1,2,6,4,True,baboons,,
ARIELLE,parallelogram,1,1,4,0,3391,False,2,4,5,1,6,3,4,3,6,5,1,2,True,baboons,,
ARIELLE,rectangle,2,0,0,1,1672,False,5,2,3,1,4,6,1,6,2,3,4,5,True,baboons,,
ARIELLE,isoTrapezoid,0,4,1,0,2000,True,6,1,4,3,2,5,2,1,5,6,3,4,True,baboons,,
ARIELLE,random,2,5,3,0,3000,True,3,1,2,5,6,4,1,6,3,5,4,2,True,baboons,,
ARIELLE,kite,1,5,5,1,1199,True,2,5,1,6,4,3,1,2,6,4,3,5,True,baboons,,
ARIELLE,square,0,4,4,1,1492,True,3,2,5,4,6,1,4,5,1,3,2,6,True,baboons,,
ARIELLE,kite,3,0,0,1,2051,False,4,6,2,5,3,1,2,4,3,6,1,5,True,baboons,,
ARIELLE,square,2,3,2,0,1629,True,2,5,6,1,4,3,4,3,6,5,1,2,True,baboons,,
ARIELLE,losange,0,4,4,1,2520,True,1,5,4,3,6,2,4,1,3,6,2,5,True,baboons,,
ARIELLE,kite,3,3,3,1,3141,True,5,1,4,6,3,2,6,4,1,3,2,5,True,baboons,,
ARIELLE,isoTrapezoid,3,2,0,0,2500,False,4,3,1,6,2,5,5,1,6,3,2,4,True,baboons,,
ARIELLE,kite,0,3,2,0,3473,True,4,1,6,3,5,2,1,3,6,4,5,2,True,baboons,,
ARIELLE,rightKite,3,0,1,0,3668,False,5,1,6,4,3,2,6,2,4,1,5,3,True,baboons,,
ARIELLE,trapezoid,0,2,3,0,1570,False,1,5,2,6,3,4,6,5,3,2,4,1,True,baboons,,
ARIELLE,rustedHinge,3,2,3,0,2109,True,2,3,1,5,4,6,4,3,1,6,2,5,True,baboons,,
ARIELLE,parallelogram,3,0,1,0,2230,True,2,1,3,5,6,4,2,1,4,5,6,3,True,baboons,,
ARIELLE,isoTrapezoid,1,4,1,0,3191,False,5,6,4,2,3,1,3,5,4,6,2,1,True,baboons,,
ARIELLE,trapezoid,2,4,4,1,2668,True,2,3,5,6,1,4,2,3,4,5,1,6,True,baboons,,
ARIELLE,rustedHinge,2,5,4,0,2621,False,2,3,4,6,5,1,3,1,2,4,6,5,True,baboons,,
ARIELLE,losange,0,3,3,1,2699,False,2,5,6,3,1,4,5,3,2,6,1,4,True,baboons,,
